F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000  1174  1047  0  80   0 - 17889 poll_s ?        00:00:01 bamfdaemon
0 S  1000  1186  1047  0  80   0 - 13236 futex_ ?        00:00:00 gvfsd-fuse
0 S  1000  1205  1047  0  80   0 - 11541 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000  1233  1205  0  80   0 -  1514 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1237  1047  0  80   0 -  7292 poll_s ?        00:00:00 at-spi2-registr
1 S  1000  1246  1047  0  80   0 - 11895 poll_s ?        00:00:03 ibus-daemon
0 S  1000  1263  1246  0  80   0 -  9663 poll_s ?        00:00:00 ibus-dconf
0 S  1000  1265  1246  0  80   0 - 23507 poll_s ?        00:00:00 ibus-ui-gtk3
0 S  1000  1267  1047  0  80   0 - 13208 poll_s ?        00:00:00 ibus-x11
1 S  1000  1287  1047  0  80   0 -  1718 poll_s ?        00:00:00 upstart-dbus-br
1 S  1000  1290  1047  0  80   0 -  1718 poll_s ?        00:00:00 upstart-dbus-br
1 S  1000  1291  1047  0  80   0 -  1793 poll_s ?        00:00:00 upstart-file-br
0 S  1000  1292  1047  0  80   0 - 32066 poll_s ?        00:00:02 hud-service
0 S  1000  1294  1047  0  80   0 - 64097 poll_s ?        00:00:00 unity-settings-
0 R  1000  1300  1047 82  80   0 - 88629 -      ?        04:26:23 compiz
0 S  1000  1303  1047  0  80   0 - 20754 poll_s ?        00:00:00 gnome-session
0 S  1000  1307  1047  0  80   0 - 25940 poll_s ?        00:00:03 unity-panel-ser
0 S  1000  1322  1047  0  80   0 -  6315 poll_s ?        00:00:00 dconf-service
0 S  1000  1323  1246  0  80   0 -  7594 poll_s ?        00:00:01 ibus-engine-sim
0 S  1000  1395  1047  0  80   0 - 12553 poll_s ?        00:00:00 indicator-messa
0 S  1000  1396  1047  0  80   0 - 11696 poll_s ?        00:00:00 indicator-bluet
0 S  1000  1399  1047  0  80   0 - 15914 poll_s ?        00:00:00 indicator-power
0 S  1000  1401  1047  0  80   0 - 33363 poll_s ?        00:00:00 indicator-datet
0 S  1000  1404  1047  0  80   0 - 29703 poll_s ?        00:00:00 indicator-keybo
0 S  1000  1407  1047  0  80   0 - 32061 poll_s ?        00:00:00 indicator-sound
0 S  1000  1411  1047  0  80   0 - 18575 poll_s ?        00:00:00 indicator-print
0 S  1000  1414  1047  0  80   0 - 17939 poll_s ?        00:00:00 indicator-sessi
0 S  1000  1428  1047  0  80   0 - 16181 poll_s ?        00:00:00 indicator-appli
0 S  1000  1449  1047  0  80   0 - 34687 poll_s ?        00:00:00 evolution-sourc
1 S  1000  1452  1047  0  69 -11 - 41527 poll_s ?        00:00:00 pulseaudio
0 S  1000  1491  1303  0  80   0 - 15214 poll_s ?        00:00:00 polkit-gnome-au
0 S  1000  1492  1303  0  80   0 - 28853 poll_s ?        00:00:00 nm-applet
0 S  1000  1494  1303  0  80   0 - 19271 poll_s ?        00:00:00 unity-fallback-
0 S  1000  1496  1303  0  80   0 - 48862 poll_s ?        00:00:07 nautilus
0 S  1000  1502  1047  0  80   0 - 40612 poll_s ?        00:00:00 evolution-calen
0 S  1000  1518  1047  0  80   0 - 10202 poll_s ?        00:00:00 gvfs-udisks2-vo
4 S     0  1523     1  0  80   0 - 14130 poll_s ?        00:00:00 udisksd
0 S  1000  1531  1047  0  80   0 - 19580 poll_s ?        00:00:00 gvfs-afc-volume
0 S  1000  1539  1047  0  80   0 -  8969 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1000  1541  1047  0  80   0 -  3028 poll_s ?        00:00:00 gconfd-2
0 S  1000  1546  1047  0  80   0 -  9269 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000  1558  1502  0  80   0 - 33758 poll_s ?        00:00:00 evolution-calen
0 S  1000  1568  1502  0  80   0 - 31367 poll_s ?        00:00:00 evolution-calen
0 S  1000  1571  1047  0  80   0 - 29480 poll_s ?        00:00:00 evolution-addre
0 S  1000  1590  1047  0  80   0 - 11961 poll_s ?        00:00:00 gvfsd-trash
0 S  1000  1593  1571  0  80   0 - 33298 poll_s ?        00:00:00 evolution-addre
0 S  1000  1618  1047  0  80   0 -  6963 poll_s ?        00:00:00 gvfsd-metadata
0 S  1000  1622  1047  0  80   0 - 11302 poll_s ?        00:00:00 gvfsd-burn
0 S  1000  1646  1303  0  80   0 - 25629 poll_s ?        00:00:00 telepathy-indic
0 S  1000  1655  1047  0  80   0 - 20873 poll_s ?        00:00:00 mission-control
0 S  1000  1669  1303  0  80   0 - 17416 poll_s ?        00:00:00 zeitgeist-datah
0 S  1000  1675  1047  0  80   0 - 13627 poll_s ?        00:00:00 zeitgeist-daemo
0 S  1000  1683  1047  0  80   0 - 17914 poll_s ?        00:00:00 zeitgeist-fts
0 S  1000  1730  1303  0  80   0 - 27506 poll_s ?        00:00:00 update-notifier
0 S  1000  1754  1047  0  90  10 - 39935 poll_s ?        00:00:05 update-manager
0 S  1000  1786  1303  0  80   0 - 18356 poll_s ?        00:00:00 deja-dup-monito
0 S  1000  1808  1047  0  80   0 - 24018 poll_s ?        00:00:02 notify-osd
0 S  1000  2216  1047  0  80   0 - 28776 poll_s ?        00:00:00 unity-scope-hom
0 S  1000  2229  1047  0  80   0 - 26809 poll_s ?        00:00:00 unity-scope-loa
0 S  1000  2230  1047  0  80   0 - 28295 poll_s ?        00:00:00 unity-files-dae
0 S  1000  2272  1047  0  80   0 - 29630 poll_s ?        00:00:04 gnome-terminal-
0 S  1000  2278  2272  0  80   0 -   626 unix_s ?        00:00:00 gnome-pty-helpe
0 S  1000  2280  2272  0  80   0 -  1800 wait_w pts/2    00:00:00 bash
1 S     0  2839     2  0  80   0 -     0 worker ?        00:00:01 kworker/0:0
4 S     0  2942   564  0  80   0 -  2319 poll_s ?        00:00:00 dhclient
4 S     0  3392     1  0  80   0 -  3312 ep_pol ?        00:00:00 cupsd
1 S     0  3394     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:2
4 S     7  3396  3392  0  80   0 -  2572 pipe_w ?        00:00:00 dbus
4 S     7  3397  3392  0  80   0 -  2572 pipe_w ?        00:00:00 dbus
1 S     0  3534     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:1
1 S     0  4791     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:0
1 S     0  5412     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:1
4 S   106  5469     1  0  80   0 -  1531 skb_re ?        00:00:00 uuidd
0 S  1000  5474  1047  0  80   0 - 17966 poll_s ?        00:00:00 unity-music-dae
0 S  1000  5523  2272  0  80   0 -  1794 wait   pts/11   00:00:00 bash
0 S  1000  5550  1047  0  80   0 - 27619 poll_s ?        00:00:00 gvfsd-http
0 R  1000  5952  5523  0  80   0 -  1266 -      pts/11   00:00:00 ps
